"# of Use","Utilisation numéro #",,"# of Use",WAHR
"An error occurred while trying to delete the category.","Une erreur est survenue en essayant de supprimer cette catégorie.",,"An error occurred while trying to delete the category.",WAHR
"An error occurred while updating the product(s) attributes.","Une erreur est survenue pendant la mise à jour des attributs du/des produit(s).",,"An error occurred while updating the product(s) attributes.",WAHR
"An error occurred while updating the product(s) status.","Une erreur est survenue pendant la mise à jour du statut du/des produit(s).",,"An error occurred while updating the product(s) status.",WAHR
"An invalid group ID is specified, skipping the record.","Identifiant de groupe invalide, ignorer.",,"An invalid group ID is specified, skipping the record.",WAHR
"An invalid option ID is specified for %s (%s), skipping the record.","Un identifiant d'option invalide est spécifié pour %s (%s), ignorer.",,"An invalid option ID is specified for %s (%s), skipping the record.",WAHR
"An invalid store was specified.","Un stockage invalide a été défini.",,"An invalid store was specified.",WAHR
"Anchor Custom Text","Fixer texte personnalisé",,"Anchor Custom Text",WAHR
"Anchor Custom Title","Fixer titre personnalisé",,"Anchor Custom Title",WAHR
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable aux produits et aux catégories du catalogue seulement. Tout contenu media sera inséré dans l'éditeur comme une URL statique. Cela n'est pas mis à jour si l'URL de base de la configuration système est modifiée.",,"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.",WAHR
"Apply MAP","Appliquer MAP",,"Apply MAP",WAHR
"Apply MAP (Default Value)","Appliquer MAP (Valeur par défaut)",,"Apply MAP (Default Value)",WAHR
"Apply To","Appliquer à",,"Apply To",WAHR
"Approved","Approuvé",,"Approved",WAHR
"Are you sure you want to delete this category?","Etes-vous sur de vouloir supprimer cette catégorie ?",,"Are you sure you want to delete this category?",WAHR
"Are you sure you would like to remove all products from your comparison?","Etes-vous sur de vouloir enlever tous les produits de votre comparaison ?",,"Are you sure you would like to remove all products from your comparison?",WAHR
"Are you sure you would like to remove this item from the compare products?","Etes-vous sur de vouloir enlever cet article des produits comparés ?",,"Are you sure you would like to remove this item from the compare products?",WAHR
"Are you sure?","Etes-vous sûr ?",,"Are you sure?",WAHR
"As low as:","Aussi bas que:",,"As low as:",WAHR
"Assign","Attribuer",,"Assign",WAHR
"Assign product link","Attribuer le lien du produit",,"Assign product link",WAHR
"Assign product to category","Attribuer le produit à la catégorie",,"Assign product to category",WAHR
"Assigned Products","Produits Attribués",,"Assigned Products",WAHR
"Associated Products","Produits Associés",,"Associated Products",WAHR
"Attrib. Set Name","Attib. Nom de la Série",,"Attrib. Set Name",WAHR
"Attribute ""%s"" is invalid.","Attribut ""%s"" invalide.",,"Attribute ""%s"" is invalid.",WAHR
"Attribute ""%s"" is required.","Attribut ""%s"" requis.",,"Attribute ""%s"" is required.",WAHR
"Attribute Information","Informations sur l'attribut",,"Attribute Information",WAHR
"Attribute Model","Modèle de l'attribut",,"Attribute Model",WAHR
"Attribute Name:","Nom de l'attribut:",,"Attribute Name:",WAHR
"Attribute Set","Ensemble d'attributs",,"Attribute Set",WAHR
"Attribute Sets","Ensembles d'attributs",,"Attribute Sets",WAHR
"Attribute add","Attribut ajouter",,"Attribute add",WAHR
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Le code d'attribut est invalide. Veuillez n'utiliser que des lettres (a-z), chiffres (0-9) ou underscores (_) dans ce champ, le premier caractère devant être une lettre.",,"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.",WAHR
"Attribute group with the \/name/\"" name already exists""","Le groupe attribut du nom \/name/\"" existe déjà""",,,FALSCH
"Attribute group with the \/name/\ name already exists","Groupe d'attribut avec le nom \/name/\ existe déjà",,,FALSCH
"Attribute group with the ""\/name/\"" name already exists","Groupe d'attribut avec le nom „\/name/\“ existe déjà","+","Attribute group with the ""\/name/\"" name already exists",WAHR
"Attribute remove","Attribut effacer",,"Attribute remove",WAHR
"Attribute with the same code already exists","Un attribut avec le même code existe déjà",,"Attribute with the same code already exists",WAHR
"Attributes","Attributs",,"Attributes",WAHR
"Attribute names can be specified per store.","Attribute names can be specified per store.","+","Attribute names can be specified per store.",WAHR
"Attrribute names can be specified per store.","Les noms des attributs peuvent être définis par magasin",,"Attrribute names can be specified per store.",WAHR
"Autogenerate","Générer automatiquement",,"Autogenerate",WAHR
"Availability:","Disponibilité:",,"Availability:",WAHR
"Back","Retour",,"Back",WAHR
"Backend Model","Modèle d'interface",,"Backend Model",WAHR
"Backend Table","Tableau d'interface",,"Backend Table",WAHR
"Backend Table Title","Titre du tableau d'interface",,"Backend Table Title",WAHR
"Backorders","Ruptures de stock",,"Backorders",WAHR
"Base Image Width","Base Image Width","+","Base Image Width",WAHR
"Based On","Basé sur",,"Based On",WAHR
"Before Order Confirmation","Avant la confirmation de commande",,"Before Order Confirmation",WAHR
"Best Value","Meilleure valeur",,"Best Value",WAHR
"Block after Info Column","Bloc après Colonne Info",,"Block after Info Column",WAHR
"Bottom Block Options Wrapper","Bloc Inférieur Options d'Emballage",,"Bottom Block Options Wrapper",WAHR
"Bottom/Left","Inférieur/Gauche",,"Bottom/Left",WAHR
"Bottom/Right","Inférieur/ Droite",,"Bottom/Right",WAHR
"Browse By","Parcourir par",,"Browse By",WAHR
"Bundle Items","Lot d'objets",,"Bundle Items",WAHR
"Buy %1$s","Acheter %1$s",,"Buy %1$s",WAHR
"Buy %1$s for","Acheter %1$s pour",,"Buy %1$s for",WAHR
"Buy %1$s for %2$s","Acheter %1$s pour %2$s",,"Buy %1$s for %2$s",WAHR
"Buy %1$s for %2$s (%3$s incl. tax) each","Acheter %1$s pour %2$s (%3$s TTC) chacun",,"Buy %1$s for %2$s (%3$s incl. tax) each",WAHR
"Buy %1$s for %2$s each","Acheter %1$s pour %2$s chacun",,"Buy %1$s for %2$s each",WAHR
"Cache Lifetime (Seconds)","Durée de vie du Cache (Secondes)",,"Cache Lifetime (Seconds)",WAHR
"Cache refresh needed.","Réactualisation du Cache nécessaire",,"Cache refresh needed.",WAHR
"Can be Divided into Multiple Boxes for Shipping","Peut être divisé en plusieurs boîtes pour le transport",,"Can be Divided into Multiple Boxes for Shipping",WAHR
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un type d'entrée catalogue Menu Déroulant",,"Can be used only with catalog input type Dropdown",WAHR
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type d'entrée catalogue Menu Déroulant, Sélection Multiple et Prix",,"Can be used only with catalog input type Dropdown, Multiple Select and Price",WAHR
"Can\'t create image.","Ne peut pas créer l'image.",,"Can\'t create image.",WAHR
"Cancel","Annuler",,"Cancel",WAHR
"Cannot create image.","Ne peut pas créer l'image.",,"Cannot create image.",WAHR
"Cannot create writeable directory '%s'.","Ne peut pas créer un répertoire enregistrable '%s'.",,"Cannot create writeable directory '%s'.",WAHR
"Cart Item Attribute","Attribut de l'article du panier",,"Cart Item Attribute",WAHR
"Catalog","Catalogue",,"Catalog",WAHR
"Catalog Category (Anchor)","Catégorie Catalogue (Attaché)",,"Catalog Category (Anchor)",WAHR
"Catalog Category (Non-Anchor)","Catégorie Catalogue (Non-Attaché)",,"Catalog Category (Non-Anchor)",WAHR
"Catalog Category (Without Subcategories)","Catégorie de catalogue (sans sous-catégories)",,"Catalog Category (Without Subcategories)",WAHR
"Catalog Category Link","Lien de la Catégorie Catalogue",,"Catalog Category Link",WAHR
"Catalog New Products List","List des Nouveaux Produits du Catalogue",,"Catalog New Products List",WAHR
"Catalog Price Scope","Etendue des Prix du Catalogue",,"Catalog Price Scope",WAHR
"Catalog Product Compare List","Liste de Comparaison des Produits du Catalogue",,"Catalog Product Compare List",WAHR
"Catalog Product Email to a Friend","Envoyer le catalogue de produits par email à un ami",,"Catalog Product Email to a Friend",WAHR
